OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-0.22	10-20-3
04b0ce85a4466b0d1d946905ace50237	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group bacterium	NS9 marine group bacterium	0	0	0	9	0	0
053803f6334c0980d486973cd5b42376	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	OM27 clade bacterium	0	13	0	0	0	0
065b07f56ceb647b70a8eb6c98ea4bb9	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0	4	0	0	0	0
0687f78ed118642d5ac7357d14b3586f	Bacteria	Planctomycetes	Pla3 lineage	uncultured planctomycete	uncultured planctomycete	uncultured planctomycete	uncultured planctomycete	5	0	0	0	0	0
0689b2bcbd0fde1688e1a0210bd5c701	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria bacterium	Deltaproteobacteria bacterium	Deltaproteobacteria bacterium	Deltaproteobacteria bacterium	0	18	0	0	0	0
075c32e386967d7aa9b1b4a27c9b4854	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	0	0	0	87	0	0
0780c22c545ff02f8993b1837b08b3c5	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	0	132	0	0
09304de7bcdde93714df6d4800a79b4d	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium bacterium	0	28	0	0	0	0
098148fd37c4e150eeb8daae24b7faa5	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Henriciella	Henriciella bacterium	23	29	0	0	0	0
0b1c2b9ed02095f223b442c9bdd35006	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	uncultured marine bacterium	uncultured marine bacterium	0	0	0	18	1120	0
0c4847f9b58aa8469a655e382af656d9	Bacteria	Acidobacteria	Subgroup 6	Subgroup 6 bacterium	Subgroup 6 bacterium	Subgroup 6 bacterium	Subgroup 6 bacterium	0	0	32	0	0	0
0c9555db9393750e7e5fa8c36125c9f6	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92 clade	SAR92 clade bacterium	0	0	0	24	0	0
0d391ddc849fe8fe54de114a4a6b3d46	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	Ambiguous_taxa	8	0	0	0	0	0
0e26d35a67af25a2b4ce071c774db4a2	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	0	0	0	16	0	0
0e5915bd9df9a70a51abcfa8739f1a84	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured	marine metagenome	0	0	0	16	0	0
0e98bee086019db35e0976a5ef4f92e3	Bacteria	Bacteria bacterium	Bacteria bacterium	Bacteria bacterium	Bacteria bacterium	Bacteria bacterium	Bacteria bacterium	9	9	0	0	0	0
0f2551eb7c43e82c8bd59d9e51a5aadf	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	uncultured marine bacterium	uncultured marine bacterium	0	0	0	173	0	0
0f8acccd4e4670461d46a9a8b7ec890b	Bacteria	Proteobacteria	Gammaproteobacteria	OM182 clade	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	5	0	0	0
1040ac2ea3623b07c3b076572151499b	Bacteria	Marinimicrobia (SAR406 clade)	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0	0	0	6	0	0
1086637ffa5016a8f9f1311965a8c1f3	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	uncultured bacterium	uncultured bacterium	uncultured bacterium	0	0	9	0	0	0
1169e4a9b8791b0ba26c062c610fed24	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas bacterium	0	0	0	0	34	0
12342bc5a8b458024ce32abaebef3521	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae bacterium	Rhodobacteraceae bacterium	0	0	0	85	0	0
12410564eef73c3c877af2b6ea638ba2	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Ambiguous_taxa	0	0	10	553	0	0
12d5ccc750efc584519f6dc6e8badba0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade I bacterium	Clade I bacterium	0	0	0	0	18	0
13619828c878447a5e2bc1cf8b804d6b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Labrenzia	Ambiguous_taxa	6	0	0	0	0	0
13806f533739605d754850272931f9ab	Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	4	0	0	0
13eea987393ec9079bd9805404f0d4b3	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade I bacterium	Clade I bacterium	0	0	0	122	1030	0
13f83513155132e0e5e0a35a83139522	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	Blastocatella	Blastocatella bacterium	14	14	0	0	0	0
1401cfd6a11ecc38fc403120fd9baf85	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Prochlorococcus MIT9313 bacterium	0	0	0	0	39	0
14244a5ca23d163c729d468f01ccc474	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	Ambiguous_taxa	0	0	0	0	18	0
14b80c114f83d3890a10ea17a66e3ac5	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	SAR86 clade bacterium	SAR86 clade bacterium	SAR86 clade bacterium	0	0	0	29	6	0
14c9dab7ef89df3d9edeb9b529065d0e	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Ambiguous_taxa	Ambiguous_taxa	5	0	0	0	0	0
1509e348df63bea777aafd5796372abc	Bacteria	Chloroflexi	JG30-KF-CM66	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	5	0	0	0	0	0
151badb74ff04e42c9c93ce7bdb6b20e	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	uncultured bacterium	uncultured bacterium	0	0	5	0	0	0
1551d560c797f06308fe23770fe27619	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	marine metagenome	marine metagenome	marine metagenome	0	0	9	0	0	0
155887d600fc88a24f01cd62da008cb3	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	uncultured bacterium	uncultured bacterium	uncultured bacterium	0	0	0	0	75	0
1592091d5a0cacf5bad46fbc50d6bd12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacteraceae bacterium	Xanthobacteraceae bacterium	8	0	0	0	0	0
165d53a3627c5b13dc0e4d43a9585b35	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Ambiguous_taxa	0	0	0	116	0	0
16f7c728fe7f8f9a9949102acd617bc8	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arenibacter	Ambiguous_taxa	4	0	0	0	0	0
1816e09570f69294ef9acec1652a8455	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	0	0	40	0	0	0
1902c4b8eb03e5ee67fc1960dfb418c2	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured	uncultured bacterium	0	11	0	0	0	0
195ea247db83e0610b18d380550c48e5	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gimesiaceae	Gimesia	Ambiguous_taxa	0	26	0	0	0	0
1982df1413137789d207f675a4ec4adc	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured planctomycete	0	46	0	0	0	0
1a3cf97c1aa3c3e5d855ab1218a9fb28	Bacteria	Planctomycetes	BD7-11	BD7-11 bacterium	BD7-11 bacterium	BD7-11 bacterium	BD7-11 bacterium	0	2	0	0	0	0
1a7732dfe27d6838b8c1778357f57964	Bacteria	Proteobacteria	Deltaproteobacteria	PB19	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	0	7	0	0
1ab218e8e54c591636f830262de2be58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira	Ambiguous_taxa	4	0	0	0	0	0
1ab3eff4e2a4f8e248aa8fe7147cb24e	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	0	0	0	46	0	0
1b5a60402861b0b7c2765dcc85c7db70	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade bacterium	SAR202 clade bacterium	SAR202 clade bacterium	0	0	12	0	0	0
1b99aaeb64bee113af2f78c0551b142f	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacteriaceae bacterium	Microbacteriaceae bacterium	23	0	0	0	0	0
1be989868673897fa0bda04b1a02eb60	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	uncultured bacterium	0	0	0	12	0	0
1c8b34d8f5b31f94bedcaf79ace4e77e	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	marine metagenome	marine metagenome	0	0	0	17	0	0
1c9b722217592cbca01202112c753162	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured	uncultured bacterium	0	0	0	13	0	0
1cf354e9fa6ab14d2e27b9aea534f5ba	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS7 marine group	Ambiguous_taxa	Ambiguous_taxa	0	0	0	16	0	0
1d154b6bac94567b760b1710e91c79ca	Bacteria	Acidobacteria	Subgroup 21	Subgroup 21 bacterium	Subgroup 21 bacterium	Subgroup 21 bacterium	Subgroup 21 bacterium	0	7	0	0	0	0
1d8ee0be7f19241be4b40d0927bb8619	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	Coxiella bacterium	0	0	0	8	0	0
1dc09c355256b9137a2e3d95fd54e86e	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae bacterium	Sphingomonadaceae bacterium	0	0	12	7	0	0
1df60b9f54cf25fefe73d5e70fa3c2a8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	unidentified marine bacterioplankton	unidentified marine bacterioplankton	0	0	0	0	74	0
1e34dbcf6ea7eff18d045e30eb12be2e	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade bacterium	SAR11 clade bacterium	SAR11 clade bacterium	0	0	70	0	0	0
1efd63c42025dae4afe5095e0c856f83	Bacteria	Proteobacteria	Gammaproteobacteria	Ga0077536	Ga0077536 bacterium	Ga0077536 bacterium	Ga0077536 bacterium	0	22	0	0	0	0
1f344f9b751898ccc2e28e0593d6f2e9	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	Candidatus Actinomarina bacterium	0	0	0	82	0	0
1f8ca282cfb0f42d5afce37fa24618df	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured	metagenome	0	0	0	9	0	0
20a0d2f150b3312772f5c00e54fd7baf	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS2b marine group	NS2b marine group bacterium	0	0	0	420	0	0
20eada1922a1fcd6faffd5713b528a82	Bacteria	Margulisbacteria	Margulisbacteria bacterium	Margulisbacteria bacterium	Margulisbacteria bacterium	Margulisbacteria bacterium	Margulisbacteria bacterium	3	0	0	0	0	0
21ddfc89c4ff2cf41bd991c7a8f4831f	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	Ambiguous_taxa	0	0	0	20	0	0
21e17de71dd905a4095354cb4351839f	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	uncultured bacterium	7	11	0	0	0	0
2209364ae80b444d90b63c9866efff2e	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	0	0	17	0	0	0
2280feccc26074dbd6675b25b5559f0c	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	uncultured deep-sea bacterium	uncultured deep-sea bacterium	uncultured deep-sea bacterium	0	0	10	0	0	0
22a6f2b05f6665a4c54809af16415a1e	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured bacterium	7	0	0	0	0	0
232c9842c9756a943c5f2b619ea9a434	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	uncultured bacterium	0	0	3	0	0	0
239f7f3079d5bc2e711f24c95d253908	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured	uncultured marine bacterium	3	0	0	0	0	0
24fe443a2806c07b67090c380b45ce51	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina	uncultured marine eukaryote	0	0	0	5	0	0
259dba8d349b89fdecefcd439b023c96	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured	uncultured bacterium	0	0	0	3	0	0
25b1587f9d2ce6a2f046e92cd496599d	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	Pirellula bacterium	0	0	0	70	0	0
25e3a20dee4030a0865879789f518147	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	Rhodobacteraceae bacterium REDSEA-S29_B10	Rhodobacteraceae bacterium REDSEA-S29_B10	Rhodobacteraceae bacterium REDSEA-S29_B10	0	0	0	0	67	0
261a73c6417e72f98ca58114702d9f98	Bacteria	PAUC34f	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	3	0	0	0	0	0
2666c28abcb7e5140a52f2ea995f05b2	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	0	17	0	0
27519dfda8b463271f576f8bc5200f63	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	uncultured SAR324 cluster bacterium	uncultured SAR324 cluster bacterium	uncultured SAR324 cluster bacterium	31	0	0	11	0	0
27657d9a19a7544663aa3dcf45cbf143	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	uncultured bacterium	uncultured bacterium	3	9	0	0	0	0
2785fb0b491e01264e5358053d12618e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	Ambiguous_taxa	0	0	0	0	12	0
27ca2b8f287c3a7e4d864cc870cf67b7	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Prochlorococcus MIT9313 bacterium	0	0	0	398	0	0
27edcf20818a2e22b02dda0168e8a82b	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured	uncultured bacterium	0	65	0	0	0	0
281a8c0145f56a7d7a63f9b06847b862	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	uncultured Hyphomicrobiaceae bacterium	6	0	0	0	0	0
284056dd9333bfb812d1b2bb79369200	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	hydrothermal vent metagenome	hydrothermal vent metagenome	0	3	0	0	0	0
2859d0c4e0f71bcc5074a5cf465bb43f	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	Ambiguous_taxa	0	0	38	0	0	0
2997f1920aefbb91632b549f2538b73b	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	Clade Ia bacterium	0	0	0	7	26	0
29adfe738220e55512f65524687fca9a	Bacteria	PAUC34f	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0	0	5	0	0	0
29fd937aa8d6e5a115ad64e2209a9ec6	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium bacterium	0	0	14	0	0	0
2a42393f6da41b7bbff9b036fd34a7bc	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	marine metagenome	0	0	48	0	0	0
2a86cccd424ed4c7f2b08d91d95165a1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	MD3-55	MD3-55 bacterium	6	0	0	0	0	0
2aa9a3c6f6965c9b78a271efe8096b99	Bacteria	Proteobacteria	Gammaproteobacteria	Piscirickettsiales	Piscirickettsiaceae	Candidatus Endoecteinascidia	uncultured marine bacterium	0	0	0	4	0	0
2b2fb78de0f085023779de5078d92fae	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	metagenome	metagenome	9	0	0	0	0	0
2b426003f80a504011fefd302d6311d4	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	uncultured SAR324 cluster bacterium	uncultured SAR324 cluster bacterium	uncultured SAR324 cluster bacterium	0	0	42	0	0	0
2b57c198938e7481ac86753a8cfaa087	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	unidentified marine bacterioplankton	unidentified marine bacterioplankton	0	0	0	0	41	0
2c390d4b017b859fc20866eb5882c2c9	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b bacterium	A4b bacterium	5	0	0	0	0	0
2c40e9498897c85eda8fde851826e7e7	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	Pseudohongiella bacterium	4	0	9	0	0	0
2d98fa777fdf85b2ba3c90bf7f35d374	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade	Ambiguous_taxa	Ambiguous_taxa	0	0	0	0	8	0
2dc46d3959e0edd8e5d9a42d71934ca0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	uncultured marine bacterium	5	0	0	0	0	0
2ddfcd91636853ea427bfd186377cd65	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	uncultured marine bacterium	0	7	0	0	0	0
2de4c4d21f34ef30deccd7956154f589	Bacteria	Marinimicrobia (SAR406 clade)	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	12	0	35	0	0	0
2ded10c32eba63612f9cd7cb0dee11d8	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	Erythrobacter bacterium	0	7	0	0	0	0
2e36396f2a2cf0a66df12340031af4e9	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	uncultured	Ambiguous_taxa	Ambiguous_taxa	26	12	18	0	0	0
2e564f8aca17849c7fa754f1abdf72ce	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	uncultured	uncultured bacterium	0	5	0	0	0	0
2eaca7bbe24298729fdade842d8d0622	Bacteria	Acidobacteria	Subgroup 26	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	16	0	0	0
2ec7114c8f390b5c2a6c2b7897a1c73d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor	Nitratireductor bacterium	30	15	0	0	0	0
2fc57e79de44ed1f662497532b95668f	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured bacterium	uncultured bacterium	uncultured bacterium	0	0	0	50	0	0
2ff0a172c72d96fac751f72b803c6ee7	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	uncultured SAR324 cluster bacterium	uncultured SAR324 cluster bacterium	uncultured SAR324 cluster bacterium	0	14	137	0	0	0
30ed8d4e2915d97b2906d9a9a9a33e4c	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86 clade	uncultured gamma proteobacterium HF4000_19M20	uncultured gamma proteobacterium HF4000_19M20	uncultured gamma proteobacterium HF4000_19M20	0	5	0	0	0	0
3152207514dbef092ba6c74544c667af	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	Ambiguous_taxa	Ambiguous_taxa	0	0	0	0	62	0
31f18280654c3b734dc52067fad44df7	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	uncultured marine bacterium	0	0	0	93	0	0
31f1c6b0fc2ac518e94e7cadfe7f28a1	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Prochlorococcus MIT9313 bacterium	0	0	0	81	130	0
32a1de2e50f861d3faa0a10359894288	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	0	0	37	0
32fca445b760a61f0140ac465546c643	Bacteria	Planctomycetes	Planctomycetacia	uncultured	uncultured planctomycete	uncultured planctomycete	uncultured planctomycete	21	0	0	0	0	0
33403727eab5e74f77f4fdb62af21ab9	Bacteria	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	Marinimicrobia (SAR406 clade) bacterium	0	0	3	0	0	0
33488aab37a5015697d273c52eae05bf	Bacteria	Planctomycetes	OM190	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium	0	6	0	0	0	0
335320754dc1b90d6dbb6c195dc3ddab	Bacteria	Acidobacteria	Subgroup 6	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	13	0	64	0	0	0
344089ebc509c879da59f936bf57322d	Bacteria	Marinimicrobia (SAR406 clade)	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	uncultured marine bacterium	0	0	0	0	13	0
3441b55697a9ee5d7140a1b463d8513e	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus MIT9313	Ambiguous_taxa	0	0	0	75	0	0
3468430277ce2317dec6f413dcfaa03e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	Ascidiaceihabitans bacterium	0	0	0	50	0	0
34b36c0071414535f29d7558a25a8f3f	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NS5 marine group bacterium	0	0	0	104	0	0
352d9607a6e5f58072d7ec9c0c019585	Bacteria	Acidobacteria	Subgroup 6	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	0	0	21	0	0	0
353261e56f5f40772892c06760f7cafb	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02 marine group	uncultured bacterium	3	0	0	0	0	0
35e78c8d325d722664022c308e809585	Bacteria	Planctomycetes	Pla3 lineage	uncultured planctomycete	uncultured planctomycete	uncultured planctomycete	uncultured planctomycete	0	6	0	0	0	0
36f6f8223d6670ccdbe5e61cf4c605c4	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	uncultured delta proteobacterium	uncultured delta proteobacterium	4	0	0	0	0	0
